"Country or Area","Year","Item","Value"
"Bolivia (Plurinational State of)","2004","Gross National Income (GNI)","8387815051.57757"
"Bosnia and Herzegovina","2014","Gross National Income (GNI)","18683117928.8845"
"Bosnia and Herzegovina","2009","Gross National Income (GNI)","18292772556.6546"
"Bosnia and Herzegovina","2004","Gross National Income (GNI)","10885936336.3386"
"Botswana","2014","Gross National Income (GNI)","15905115329.6259"
"Botswana","2009","Gross National Income (GNI)","10005733368.3561"
"Botswana","2004","Gross National Income (GNI)","7997974343.96439"
"Brazil","2014","Gross National Income (GNI)","2407427813927.49"
"Brazil","2009","Gross National Income (GNI)","1630110070358.02"
"Brazil","2004","Gross National Income (GNI)","654397628008.941"
"British Virgin Islands","2014","Gross National Income (GNI)","1003537572"
"British Virgin Islands","2009","Gross National Income (GNI)","914730517"
"British Virgin Islands","2004","Gross National Income (GNI)","778834223"
"Brunei Darussalam","2014","Gross National Income (GNI)","17082572830.7339"
"Brunei Darussalam","2009","Gross National Income (GNI)","11892307477.0295"
"Brunei Darussalam","2004","Gross National Income (GNI)","8722767581.89475"
"Bulgaria","2014","Gross National Income (GNI)","56391900600.3325"
"Bulgaria","2009","Gross National Income (GNI)","50912365301.5644"
"Bulgaria","2004","Gross National Income (GNI)","26299133705.4099"
"Burkina Faso","2014","Gross National Income (GNI)","13368320771.7174"
"Burkina Faso","2009","Gross National Income (GNI)","9328112410.9306"
"Burkina Faso","2004","Gross National Income (GNI)","5407414631.33713"
"Burundi","2014","Gross National Income (GNI)","3021491101.40817"
"Burundi","2009","Gross National Income (GNI)","1758554324.2086"
"Burundi","2004","Gross National Income (GNI)","659605304.903261"
"Cabo Verde","2014","Gross National Income (GNI)","1765565333.72067"
"Cabo Verde","2009","Gross National Income (GNI)","1668452922.55153"
"Cabo Verde","2004","Gross National Income (GNI)","1030504669.38901"
"Cambodia","2014","Gross National Income (GNI)","15825604175.6129"
"Cambodia","2009","Gross National Income (GNI)","9951169683.23797"
"Cambodia","2004","Gross National Income (GNI)","4521332088.39091"
"Cameroon","2014","Gross National Income (GNI)","34653430322.1234"
"Cameroon","2009","Gross National Income (GNI)","25793206128.8372"
"Cameroon","2004","Gross National Income (GNI)","16585418456.9624"
"Canada","2014","Gross National Income (GNI)","1774385885102.87"
"Canada","2009","Gross National Income (GNI)","1350955514004.37"
"Canada","2004","Gross National Income (GNI)","1004545538978.1"
"Cayman Islands","2014","Gross National Income (GNI)","4200424490.2439"
"Cayman Islands","2009","Gross National Income (GNI)","3990226480.24691"
"Cayman Islands","2004","Gross National Income (GNI)","3178422264.88906"
"Central African Republic","2014","Gross National Income (GNI)","1762915335.9043"
"Central African Republic","2009","Gross National Income (GNI)","2023455972.83544"
"Central African Republic","2004","Gross National Income (GNI)","1312680506.39448"
"Chad","2014","Gross National Income (GNI)","13871004238.7441"
"Chad","2009","Gross National Income (GNI)","9212152248.31244"
"Chad","2004","Gross National Income (GNI)","4231747838.807"
"Chile","2014","Gross National Income (GNI)","251487211302.462"
"Chile","2009","Gross National Income (GNI)","160627295842.557"
"Chile","2004","Gross National Income (GNI)","91072952208.3964"
"China, Hong Kong SAR","2014","Gross National Income (GNI)","297470623005.083"
"China, Hong Kong SAR","2009","Gross National Income (GNI)","220467249330.796"
"China, Hong Kong SAR","2004","Gross National Income (GNI)","172692218798.151"
"China, Macao Special Administrative Region","2014","Gross National Income (GNI)","47421758181.1938"
"China, Macao Special Administrative Region","2009","Gross National Income (GNI)","19490240201.0617"
"China, Macao Special Administrative Region","2004","Gross National Income (GNI)","10038604158.8305"
"China, People's Republic of","2014","Gross National Income (GNI)","10451770738063.8"
"China, People's Republic of","2009","Gross National Income (GNI)","5093158378342.67"
"China, People's Republic of","2004","Gross National Income (GNI)","1951546017273.78"
"Colombia","2014","Gross National Income (GNI)","369788194705.157"
"Colombia","2009","Gross National Income (GNI)","225354648318.642"
"Colombia","2004","Gross National Income (GNI)","113486706443.462"
"Comoros","2014","Gross National Income (GNI)","1150735359.12633"
"Comoros","2009","Gross National Income (GNI)","899576973.29179"
"Comoros","2004","Gross National Income (GNI)","757547501.402538"
"Congo","2014","Gross National Income (GNI)","15654746208.8558"
"Congo","2009","Gross National Income (GNI)","6907464019.78042"
"Congo","2004","Gross National Income (GNI)","3298214611.49197"
"Cook Islands","2014","Gross National Income (GNI)","319453748.582807"
"Cook Islands","2009","Gross National Income (GNI)","215568521.104354"
"Cook Islands","2004","Gross National Income (GNI)","194743340.884334"
"Costa Rica","2014","Gross National Income (GNI)","48430773828.7185"
"Costa Rica","2009","Gross National Income (GNI)","29548316468.7717"
"Costa Rica","2004","Gross National Income (GNI)","17741746350.8489"
"Côte d'Ivoire","2014","Gross National Income (GNI)","35004225707.0182"
"Côte d'Ivoire","2009","Gross National Income (GNI)","23340366325.2919"
"Côte d'Ivoire","2004","Gross National Income (GNI)","15902757096.2194"
"Croatia","2014","Gross National Income (GNI)","56149045235.2297"
"Croatia","2009","Gross National Income (GNI)","60480931258.4973"
"Croatia","2004","Gross National Income (GNI)","40877208236.2823"
"Cuba","2014","Gross National Income (GNI)","79602000000"
"Cuba","2009","Gross National Income (GNI)","60437000000"
"Cuba","2004","Gross National Income (GNI)","37553800000"
"Curaçao","2014","Gross National Income (GNI)","3130919998.32402"
"Curaçao","2009","Gross National Income (GNI)","2820831432.96089"
"Cyprus","2014","Gross National Income (GNI)","22478849773.049"
"Cyprus","2009","Gross National Income (GNI)","25872295335.9556"
"Cyprus","2004","Gross National Income (GNI)","14824176097.6286"
"Czechia","2014","Gross National Income (GNI)","193821124894.616"
"Czechia","2009","Gross National Income (GNI)","191648586266.59"
"Czechia","2004","Gross National Income (GNI)","113683673965.7"
"Democratic People's Republic of Korea","2014","Gross National Income (GNI)","17462290487.3638"
"Democratic People's Republic of Korea","2009","Gross National Income (GNI)","12043547737.1799"
"Democratic People's Republic of Korea","2004","Gross National Income (GNI)","11145000000"
"Democratic Republic of the Congo","2014","Gross National Income (GNI)","35305957706.4817"
"Democratic Republic of the Congo","2009","Gross National Income (GNI)","17872651513.8262"
"Democratic Republic of the Congo","2004","Gross National Income (GNI)","10013122405.5191"
"Denmark","2014","Gross National Income (GNI)","365833620392.697"
"Denmark","2009","Gross National Income (GNI)","324448845335.953"
"Denmark","2004","Gross National Income (GNI)","251683815375.919"
"Djibouti","2014","Gross National Income (GNI)","2402020814.5678"
"Djibouti","2009","Gross National Income (GNI)","1195313603.51337"
"Djibouti","2004","Gross National Income (GNI)","728702050.888753"
"Dominica","2014","Gross National Income (GNI)","504074074.074074"
"Dominica","2009","Gross National Income (GNI)","485275555.555556"
"Dominica","2004","Gross National Income (GNI)","341430000"
"Dominican Republic","2014","Gross National Income (GNI)","62817669207.0863"
"Dominican Republic","2009","Gross National Income (GNI)","46359243776.6815"
"Dominican Republic","2004","Gross National Income (GNI)","20455423619.4977"
"Ecuador","2014","Gross National Income (GNI)","100144291000"
"Ecuador","2009","Gross National Income (GNI)","61241510000"
"Ecuador","2004","Gross National Income (GNI)","34459281532"
"Egypt","2014","Gross National Income (GNI)","298138330472.929"
"Egypt","2009","Gross National Income (GNI)","190164282190.041"
"Egypt","2004","Gross National Income (GNI)","78585069202.4332"
"El Salvador","2014","Gross National Income (GNI)","21558032396"
"El Salvador","2009","Gross National Income (GNI)","17045646010"
"El Salvador","2004","Gross National Income (GNI)","13126869409"
"Equatorial Guinea","2014","Gross National Income (GNI)","17574306662.1483"
"Equatorial Guinea","2009","Gross National Income (GNI)","9938873897.62463"
"Equatorial Guinea","2004","Gross National Income (GNI)","2479176556.44694"
"Eritrea","2014","Gross National Income (GNI)","3928142954.60163"
"Eritrea","2009","Gross National Income (GNI)","1840533599.28455"
"Eritrea","2004","Gross National Income (GNI)","1093759648.88486"
"Estonia","2014","Gross National Income (GNI)","26016476368.473"
"Estonia","2009","Gross National Income (GNI)","19154533821.2424"
"Estonia","2004","Gross National Income (GNI)","11562707845.8366"
"Ethiopia","2014","Gross National Income (GNI)","54014199820.2156"
"Ethiopia","2009","Gross National Income (GNI)","28166265532.8294"
"Ethiopia","2004","Gross National Income (GNI)","9896906455.42185"
"Fiji","2014","Gross National Income (GNI)","4631891954.95689"
"Fiji","2009","Gross National Income (GNI)","2859168672.90198"
"Fiji","2004","Gross National Income (GNI)","2989128633.83248"
"Finland","2014","Gross National Income (GNI)","277244896380.481"
"Finland","2009","Gross National Income (GNI)","255616722025.192"
"Finland","2004","Gross National Income (GNI)","198512475709.771"
"Former Netherlands Antilles","2009","Gross National Income (GNI)","3689072819.97011"
"Former Netherlands Antilles","2004","Gross National Income (GNI)","3086928344.13408"
"Former Sudan","2004","Gross National Income (GNI)","25531785332.9714"
"France","2014","Gross National Income (GNI)","2913984043645.93"
"France","2009","Gross National Income (GNI)","2751928420357.97"
"France","2004","Gross National Income (GNI)","2145126122938.05"
"French Polynesia","2014","Gross National Income (GNI)","6143813743.70407"
"French Polynesia","2009","Gross National Income (GNI)","6558162226.5526"
"French Polynesia","2004","Gross National Income (GNI)","5553092212.7468"
"Gabon","2014","Gross National Income (GNI)","16222203542.8427"
"Gabon","2009","Gross National Income (GNI)","10693234966.7835"
"Gabon","2004","Gross National Income (GNI)","5852324193.58483"
"Gambia","2014","Gross National Income (GNI)","1201175215.69151"
"Gambia","2009","Gross National Income (GNI)","1405051264.88282"
"Gambia","2004","Gross National Income (GNI)","927616501.71911"
"Georgia","2014","Gross National Income (GNI)","17397551107.4193"
"Georgia","2009","Gross National Income (GNI)","11202785839.6141"
"Georgia","2004","Gross National Income (GNI)","5491290755.7457"
"Germany","2014","Gross National Income (GNI)","3961735742666.92"
"Germany","2009","Gross National Income (GNI)","3474191941903.6"
"Germany","2004","Gross National Income (GNI)","2826280009685.05"
"Ghana","2014","Gross National Income (GNI)","51863271669.0088"
"Ghana","2009","Gross National Income (GNI)","33990055677.8819"
"Ghana","2004","Gross National Income (GNI)","18419179322.9202"
"Greece","2014","Gross National Income (GNI)","238635617784.867"
"Greece","2009","Gross National Income (GNI)","322654917688.165"
"Greece","2004","Gross National Income (GNI)","237712093274.478"
"Greenland","2014","Gross National Income (GNI)","2766045401.60595"
"Greenland","2009","Gross National Income (GNI)","2465083604.14361"
"Greenland","2004","Gross National Income (GNI)","1772568367.29414"
"Grenada","2014","Gross National Income (GNI)","878451851.851852"
"Grenada","2009","Gross National Income (GNI)","708233333.333333"
"Grenada","2004","Gross National Income (GNI)","533925925.925926"
"Guatemala","2014","Gross National Income (GNI)","57316715891.3122"
"Guatemala","2009","Gross National Income (GNI)","36617762759.9886"
"Guatemala","2004","Gross National Income (GNI)","23626917315.2317"
"Guinea","2014","Gross National Income (GNI)","8494873940.31241"
"Guinea","2009","Gross National Income (GNI)","6553802630.47689"
"Guinea","2004","Gross National Income (GNI)","5064139936.28637"
"Guinea-Bissau","2014","Gross National Income (GNI)","1090847894.59095"
"Guinea-Bissau","2009","Gross National Income (GNI)","816594217.760026"
"Guinea-Bissau","2004","Gross National Income (GNI)","520827014.431808"
"Guyana","2014","Gross National Income (GNI)","3050358643.57246"
"Guyana","2009","Gross National Income (GNI)","2008807111.59598"
"Guyana","2004","Gross National Income (GNI)","1228185341.95631"
"Haiti","2014","Gross National Income (GNI)","8709885824.15949"
"Haiti","2009","Gross National Income (GNI)","6514959165.30754"
"Haiti","2004","Gross National Income (GNI)","3648204925.24951"
"Honduras","2014","Gross National Income (GNI)","18168819901.3762"
"Honduras","2009","Gross National Income (GNI)","14298648856.0526"
"Honduras","2004","Gross National Income (GNI)","8415749891.45193"
"Hungary","2014","Gross National Income (GNI)","134479784467.007"
"Hungary","2009","Gross National Income (GNI)","125055187183.394"
"Hungary","2004","Gross National Income (GNI)","97617749645.4921"
"Iceland","2014","Gross National Income (GNI)","17501535809.5599"
"Iceland","2009","Gross National Income (GNI)","10831585127.3326"
"Iceland","2004","Gross National Income (GNI)","13226067928.4435"
"India","2014","Gross National Income (GNI)","2018782146194.61"
"India","2009","Gross National Income (GNI)","1307379844342.01"
"India","2004","Gross National Income (GNI)","698191459469.479"
"Indonesia","2014","Gross National Income (GNI)","888999989245.248"
"Indonesia","2009","Gross National Income (GNI)","574995127149.252"
"Indonesia","2004","Gross National Income (GNI)","270606360288.158"
"Iran, Islamic Republic of","2014","Gross National Income (GNI)","445301135486.556"
"Iran, Islamic Republic of","2009","Gross National Income (GNI)","416274644680.092"
"Iran, Islamic Republic of","2004","Gross National Income (GNI)","189735083266.181"
"Iraq","2014","Gross National Income (GNI)","226920230502.966"
"Iraq","2009","Gross National Income (GNI)","132892600957.393"
"Iraq","2004","Gross National Income (GNI)","36711593527.5114"
"Ireland","2014","Gross National Income (GNI)","218187291606.577"
"Ireland","2009","Gross National Income (GNI)","197539147051.866"
"Ireland","2004","Gross National Income (GNI)","167329154534.9"
"Israel","2014","Gross National Income (GNI)","307680272672.01"
"Israel","2009","Gross National Income (GNI)","202514536074.604"
"Israel","2004","Gross National Income (GNI)","131521208661.344"
"Italy","2014","Gross National Income (GNI)","2159322448608.36"
"Italy","2009","Gross National Income (GNI)","2189730555366.16"
"Italy","2004","Gross National Income (GNI)","1800321965816.74"
"Jamaica","2014","Gross National Income (GNI)","13531837304.6038"
"Jamaica","2009","Gross National Income (GNI)","11452249431.5597"
"Jamaica","2004","Gross National Income (GNI)","9592248249.59312"
"Japan","2014","Gross National Income (GNI)","5024973338035.64"
"Japan","2009","Gross National Income (GNI)","5359254275514.26"
"Japan","2004","Gross National Income (GNI)","4905649288930.29"
"Jordan","2014","Gross National Income (GNI)","35633675818.3099"
"Jordan","2009","Gross National Income (GNI)","24319016716.9014"
"Jordan","2004","Gross National Income (GNI)","11657454662.9055"
"Kazakhstan","2014","Gross National Income (GNI)","198776988699.251"
"Kazakhstan","2009","Gross National Income (GNI)","102688157924.473"
"Kazakhstan","2004","Gross National Income (GNI)","40298967177.5646"
"Kenya","2014","Gross National Income (GNI)","60579831407.2707"
"Kenya","2009","Gross National Income (GNI)","36976535602.6106"
"Kenya","2004","Gross National Income (GNI)","18326069355.5437"
"Kingdom of Eswatini","2014","Gross National Income (GNI)","3840526466.3415"
"Kingdom of Eswatini","2009","Gross National Income (GNI)","3067740710.40891"
"Kingdom of Eswatini","2004","Gross National Income (GNI)","2272636115.72842"
"Kiribati","2014","Gross National Income (GNI)","341629444.974385"
"Kiribati","2009","Gross National Income (GNI)","182744669.238343"
"Kiribati","2004","Gross National Income (GNI)","117081601.247286"
"Kosovo","2014","Gross National Income (GNI)","7537564278.91317"
"Kosovo","2009","Gross National Income (GNI)","5739331172.31286"
"Kosovo","2004","Gross National Income (GNI)","3761994411.22969"
"Kuwait","2014","Gross National Income (GNI)","178298072563.914"
"Kuwait","2009","Gross National Income (GNI)","112896617126.476"
"Kuwait","2004","Gross National Income (GNI)","65568374618.2559"
"Kyrgyzstan","2014","Gross National Income (GNI)","7239853092.47247"
"Kyrgyzstan","2009","Gross National Income (GNI)","4499228803.45764"
"Kyrgyzstan","2004","Gross National Income (GNI)","2113497849.64536"
"Lao People's Democratic Republic","2014","Gross National Income (GNI)","12683082606.2812"
"Lao People's Democratic Republic","2009","Gross National Income (GNI)","5885551114.17184"
"Lao People's Democratic Republic","2004","Gross National Income (GNI)","2471212060.60758"
"Latvia","2014","Gross National Income (GNI)","31283072125.5839"
"Latvia","2009","Gross National Income (GNI)","28093082600.5499"
"Latvia","2004","Gross National Income (GNI)","14057808064.3796"
"Lebanon","2014","Gross National Income (GNI)","47718786115.2338"
"Lebanon","2009","Gross National Income (GNI)","34737000124.9811"
"Lebanon","2004","Gross National Income (GNI)","20649334896.4909"
"Lesotho","2014","Gross National Income (GNI)","2905964728.18277"
"Lesotho","2009","Gross National Income (GNI)","2418148636.51005"
"Lesotho","2004","Gross National Income (GNI)","2221258697.9953"
"Liberia","2014","Gross National Income (GNI)","1713383010"
"Liberia","2009","Gross National Income (GNI)","1010418351"
"Liberia","2004","Gross National Income (GNI)","418336666"
"Libya","2014","Gross National Income (GNI)","32852823080.0137"
"Libya","2009","Gross National Income (GNI)","69466363225.8487"
"Libya","2004","Gross National Income (GNI)","33045482795.4179"
"Liechtenstein","2014","Gross National Income (GNI)","5374222967.48824"
"Liechtenstein","2009","Gross National Income (GNI)","4500377061.7736"
"Liechtenstein","2004","Gross National Income (GNI)","3324428039.2308"
"Lithuania","2014","Gross National Income (GNI)","47952428284.386"
"Lithuania","2009","Gross National Income (GNI)","38138220315.5836"
"Lithuania","2004","Gross National Income (GNI)","22205786775.4237"
"Luxembourg","2014","Gross National Income (GNI)","43911039297.8563"
"Luxembourg","2009","Gross National Income (GNI)","34791514931.0522"
"Luxembourg","2004","Gross National Income (GNI)","31762426601.603"
"Madagascar","2014","Gross National Income (GNI)","12172095466.6182"
"Madagascar","2009","Gross National Income (GNI)","9513973895.44166"
"Madagascar","2004","Gross National Income (GNI)","4974225328.05786"
"Malawi","2014","Gross National Income (GNI)","5797348410.88867"
"Malawi","2009","Gross National Income (GNI)","6068950246.87393"
"Malawi","2004","Gross National Income (GNI)","1856940208.90744"
"Malaysia","2014","Gross National Income (GNI)","326875907581.067"
"Malaysia","2009","Gross National Income (GNI)","198224549021.571"
"Malaysia","2004","Gross National Income (GNI)","118327894736.842"
"Maldives","2014","Gross National Income (GNI)","3763826916.12637"
"Maldives","2009","Gross National Income (GNI)","2386768103.98438"
"Maldives","2004","Gross National Income (GNI)","1234086511.01562"
"Mali","2014","Gross National Income (GNI)","14002952923.977"
"Mali","2009","Gross National Income (GNI)","9943827451.01192"
"Mali","2004","Gross National Income (GNI)","5262754012.66528"
"Malta","2014","Gross National Income (GNI)","10843394864.8486"
"Malta","2009","Gross National Income (GNI)","8064254425.75292"
"Malta","2004","Gross National Income (GNI)","6023546814.85683"
"Marshall Islands","2014","Gross National Income (GNI)","233444916"
"Marshall Islands","2009","Gross National Income (GNI)","195114591"
"Marshall Islands","2004","Gross National Income (GNI)","170608972"
"Mauritania","2014","Gross National Income (GNI)","6392262782.21299"
"Mauritania","2009","Gross National Income (GNI)","4607816941.86553"
"Mauritania","2004","Gross National Income (GNI)","2621619650.56962"
"Mauritius","2014","Gross National Income (GNI)","12722352455.8087"
"Mauritius","2009","Gross National Income (GNI)","9089199556.94341"
"Mauritius","2004","Gross National Income (GNI)","6827816238.66984"
"Mexico","2014","Gross National Income (GNI)","1284080834082.51"
"Mexico","2009","Gross National Income (GNI)","884931020703.409"
"Mexico","2004","Gross National Income (GNI)","770596683993.987"
"Micronesia (Federated States of)","2014","Gross National Income (GNI)","343300000"
"Micronesia (Federated States of)","2009","Gross National Income (GNI)","296700000"
"Micronesia (Federated States of)","2004","Gross National Income (GNI)","247401000"
"Monaco","2014","Gross National Income (GNI)","7059948255.75904"
"Monaco","2009","Gross National Income (GNI)","5452402868.8254"
"Monaco","2004","Gross National Income (GNI)","4051499372.33428"
"Mongolia","2014","Gross National Income (GNI)","11232556909.8647"
"Mongolia","2009","Gross National Income (GNI)","5142005702.72327"
"Mongolia","2004","Gross National Income (GNI)","2365627006.79281"
"Montenegro","2014","Gross National Income (GNI)","4648640196.44418"
"Montenegro","2009","Gross National Income (GNI)","4166546873.32706"
"Montenegro","2004","Gross National Income (GNI)","2201312012.56573"
"Montserrat","2014","Gross National Income (GNI)","58304031.1111111"
"Montserrat","2009","Gross National Income (GNI)","55792592.5925926"
"Montserrat","2004","Gross National Income (GNI)","40677777.7777778"
"Morocco","2014","Gross National Income (GNI)","107502118165.444"
"Morocco","2009","Gross National Income (GNI)","91615593699.9665"
"Morocco","2004","Gross National Income (GNI)","59364006201.8377"
"Mozambique","2014","Gross National Income (GNI)","17505191349.6867"
"Mozambique","2009","Gross National Income (GNI)","10547324325.2125"
"Mozambique","2004","Gross National Income (GNI)","6154888622.94171"
"Myanmar","2014","Gross National Income (GNI)","65911951934.3911"
"Myanmar","2009","Gross National Income (GNI)","32934596866.2699"
"Myanmar","2004","Gross National Income (GNI)","10253746447.0588"
"Namibia","2014","Gross National Income (GNI)","12759616117.9496"
"Namibia","2009","Gross National Income (GNI)","8708847927.2196"
"Namibia","2004","Gross National Income (GNI)","6690279779.88116"
"Nauru","2014","Gross National Income (GNI)","134088315.309482"
"Nauru","2009","Gross National Income (GNI)","55747346.59811"
"Nauru","2004","Gross National Income (GNI)","26498731.9383491"
"Nepal","2014","Gross National Income (GNI)","20067047899.7296"
"Nepal","2009","Gross National Income (GNI)","12891269478.1338"
"Nepal","2004","Gross National Income (GNI)","7262642577.65073"
"Netherlands","2014","Gross National Income (GNI)","888776279600.186"
"Netherlands","2009","Gross National Income (GNI)","859517548629.285"
"Netherlands","2004","Gross National Income (GNI)","660918962209.681"
"New Caledonia","2014","Gross National Income (GNI)","10620889853.5002"
"New Caledonia","2009","Gross National Income (GNI)","8669544317.35168"
"New Caledonia","2004","Gross National Income (GNI)","5884445335.53198"
"New Zealand","2014","Gross National Income (GNI)","192719907087.355"
"New Zealand","2009","Gross National Income (GNI)","116365570650.723"
"New Zealand","2004","Gross National Income (GNI)","96675157851.763"
"Nicaragua","2014","Gross National Income (GNI)","11561271626.8401"
"Nicaragua","2009","Gross National Income (GNI)","8039941242.14111"
"Nicaragua","2004","Gross National Income (GNI)","5546756383.12303"
"Niger","2014","Gross National Income (GNI)","10822344054.3731"
"Niger","2009","Gross National Income (GNI)","7184361048.81736"
"Niger","2004","Gross National Income (GNI)","3863930070.19913"
"Nigeria","2014","Gross National Income (GNI)","544707973420.734"
"Nigeria","2009","Gross National Income (GNI)","267074870495.799"
"Nigeria","2004","Gross National Income (GNI)","131241325479.177"
"Norway","2014","Gross National Income (GNI)","515101824914.044"
"Norway","2009","Gross National Income (GNI)","388761993108.932"
"Norway","2004","Gross National Income (GNI)","264854048708.122"
"Oman","2014","Gross National Income (GNI)","66151836286.0858"
"Oman","2009","Gross National Income (GNI)","45465868057.2172"
"Oman","2004","Gross National Income (GNI)","24373595966.1899"
"Pakistan","2014","Gross National Income (GNI)","263076248643.638"
"Pakistan","2009","Gross National Income (GNI)","165775408551.914"
"Pakistan","2004","Gross National Income (GNI)","106506365624.927"
"Palau","2014","Gross National Income (GNI)","259694336"
"Palau","2009","Gross National Income (GNI)","202406433"
"Palau","2004","Gross National Income (GNI)","163076000"
"Panama","2014","Gross National Income (GNI)","44982167891"
"Panama","2009","Gross National Income (GNI)","24886800000"
"Panama","2004","Gross National Income (GNI)","12910400000"
"Papua New Guinea","2014","Gross National Income (GNI)","22049879380.1051"
"Papua New Guinea","2009","Gross National Income (GNI)","10994600401.915"
"Papua New Guinea","2004","Gross National Income (GNI)","5873662924.6129"
"Paraguay","2014","Gross National Income (GNI)","38813336164.4036"
"Paraguay","2009","Gross National Income (GNI)","21286339567.4411"
"Paraguay","2004","Gross National Income (GNI)","9106450470.11676"
"Peru","2014","Gross National Income (GNI)","191889936737.963"
"Peru","2009","Gross National Income (GNI)","113333573154.095"
"Peru","2004","Gross National Income (GNI)","63094391881.4593"
"Philippines","2014","Gross National Income (GNI)","344879205691.648"
"Philippines","2009","Gross National Income (GNI)","204242803990.287"
"Philippines","2004","Gross National Income (GNI)","107670127469.961"
"Poland","2014","Gross National Income (GNI)","525229391485.82"
"Poland","2009","Gross National Income (GNI)","426588643143.874"
"Poland","2004","Gross National Income (GNI)","246975532959.534"
"Portugal","2014","Gross National Income (GNI)","224898858096.53"
"Portugal","2009","Gross National Income (GNI)","235546915443.518"
"Portugal","2004","Gross National Income (GNI)","186667476237.482"
